artist,title,track_n,line,lyric,track_title
Beyonce,Dangerously in Love,3,63,Likkle more di Dutty waan rock dat world,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,64,"It's a drop top, girl",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,65,"Mi and yuh together is a wrap, dat, girl",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,66,"Drive 'round di town inna yuh drop top, girl, yuh nuh stop shop, girl",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,67,Likkle more di Dutty waan rock dat world,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,68,"(Oh, na, na, na) Baby boy, you stay on my mind",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,69,"Fulfill my fantasies (Come on, girl, tell me how you feel, oh, na, na, na)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,70,I think about you all the time,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,71,I see you in my dreams (See you in my dreams; yuh done know di love is real),Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,72,"Baby boy, not a day goes by",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,73,"Without my fantasies (Oh, na, na, na, come on, girl, tell me what's the deal)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,74,I think about you all the time,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,75,I see you in my dreams (See you in my dreams; yuh done know di love is real),Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,76,"B stepping in hotter this year (Hotter, hotter under ya)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,77,"B stepping in hotter this year (Hotter, hotter under ya)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,78,I know you gon' like it,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,79,I know you gon' like it,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,80,"I'm stepping up hotter this year (Hotter, hotter under ya)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,81,"I'm stepping up hotter this year (Hotter, hotter under ya)",Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,82,So don't you fight it,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,3,83,So don't you fight it,Baby Boy (Ft. Sean Paul)
Beyonce,Dangerously in Love,4,1,Pure players,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,2,Pure players,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,3,Slowly as Sir Luscious step up like a Q-Dawg,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,4,"A-town's up, deuces down it's the new call",Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,5,And you can dial 1-888-cut-something,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,6,I'm your kinky operator when you wanna fuck something,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,7,"Ain't no dial tones just milestones, of pleasure to reach",Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,8,"To each his own, I'm a stone cold Aquarian freak",Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,9,"Humanitarian, barbarian, but under the sheets",Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,10,It's the player from the point,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,11,And your girl from the D,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,12,Are you infatuated with me?,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,13,I could end your curiosity,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,14,If you don't think I'm too rude,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,15,Here's your chance to make your move,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,16,I sit and wait for nobody,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,17,"People say that my, my style is so crazy",Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,18,"I think you like it, baby",Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,19,Do you want to get nasty?,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,20,I dare you to undress me,Hip Hop Star (Ft. Big Boi & Sleepy Brown)
Beyonce,Dangerously in Love,4,21,"Baby, let me know if you wanna roll",Hip Hop Star (Ft. Big Boi & Sleepy Brown)
